id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,schema drift,58,27,6,47,230,ship,baseline,monotonic-signal
g002,lineage depth,95,22,29,85,305,ship,edge,drag-penalty
g003,partition skew,73,57,42,62,212,ship,recovery,confidence-floor
g004,quality gap,65,42,29,59,209,ship,negative,lane-boundary
g005,schema drift,65,37,24,105,265,ship,baseline,monotonic-signal
g006,lineage depth,112,37,23,89,393,ship,edge,drag-penalty
g007,partition skew,95,40,45,43,233,ship,recovery,confidence-floor
g008,quality gap,46,9,15,24,126,watch,negative,lane-boundary
g009,schema drift,113,66,44,105,378,ship,baseline,monotonic-signal
g010,lineage depth,62,27,39,64,160,watch,edge,drag-penalty
g011,partition skew,84,10,17,91,302,ship,recovery,confidence-floor
g012,quality gap,99,39,7,66,381,ship,negative,lane-boundary
g013,schema drift,66,21,24,58,205,ship,baseline,monotonic-signal
g014,lineage depth,97,49,35,59,294,ship,edge,drag-penalty
g015,partition skew,72,66,21,64,283,ship,recovery,confidence-floor
g016,quality gap,107,77,15,71,424,ship,negative,lane-boundary
g017,schema drift,40,15,35,36,66,hold,baseline,monotonic-signal
g018,lineage depth,54,21,4,23,194,watch,edge,drag-penalty
g019,partition skew,108,62,11,64,417,ship,recovery,confidence-floor
g020,quality gap,95,15,16,46,298,ship,negative,lane-boundary
g021,schema drift,92,64,41,84,301,ship,baseline,monotonic-signal
g022,lineage depth,50,56,34,61,165,watch,edge,drag-penalty
g023,partition skew,32,19,32,58,77,hold,recovery,confidence-floor
g024,quality gap,71,38,33,104,256,ship,negative,lane-boundary
g025,schema drift,50,56,14,88,252,ship,baseline,monotonic-signal
g026,lineage depth,43,27,27,42,117,hold,edge,drag-penalty
g027,partition skew,43,15,14,23,125,hold,recovery,confidence-floor
g028,quality gap,46,11,9,104,226,ship,negative,lane-boundary
g029,schema drift,51,47,8,63,239,ship,baseline,monotonic-signal
g030,lineage depth,57,32,30,90,203,ship,edge,drag-penalty
g031,partition skew,108,27,42,65,290,ship,recovery,confidence-floor
g032,quality gap,99,62,29,57,329,ship,negative,lane-boundary
g033,schema drift,48,47,24,58,177,watch,baseline,monotonic-signal
g034,lineage depth,114,42,44,63,315,ship,edge,drag-penalty
g035,partition skew,106,42,34,70,328,ship,recovery,confidence-floor
g036,quality gap,106,45,9,35,371,ship,negative,lane-boundary
g037,schema drift,65,14,20,22,171,watch,baseline,monotonic-signal
g038,lineage depth,48,71,6,63,260,ship,edge,drag-penalty
g039,partition skew,87,32,42,45,212,ship,recovery,confidence-floor
g040,quality gap,66,15,20,83,236,ship,negative,lane-boundary
g041,schema drift,103,44,31,60,320,ship,baseline,monotonic-signal
g042,lineage depth,37,26,38,57,80,hold,edge,drag-penalty
g043,partition skew,52,54,43,103,184,watch,recovery,confidence-floor
g044,quality gap,107,71,26,87,401,ship,negative,lane-boundary
g045,schema drift,50,12,19,41,146,watch,baseline,monotonic-signal
g046,lineage depth,113,20,17,22,330,ship,edge,drag-penalty
